Keyword,Description
LUMPDIMS,"Turns on, and dimensions, the LUMPING option."
MULTSAVE,Indicates that Save files are multiple.
MULTIPHA,Allows multi-phase flash for asphaltene prediction.
MEMSAVE,Allow use of Up Front Memory option.
NINEXZ,Select the Nine-point option in the XZ plane.
NINEYZ,Select the Nine-point option in the YZ plane.
NOAIMLGR,Suppress making all refinement cells implicit in AIM runs.
NODPCO,No dual porosity condensation.
NODPCDT,Disable the DPCDT option.
NODPPM,No dual porosity permeability multiplier.
NOFREEZE,Suppress use of the FREEZEPC option.
NOHYKR,Do not apply hysteresis to relative permeabilities.
NOHYPC,Do not apply hysteresis to capillary pressure.
NOMIX,Do not interpolate between oil and gas relative permeabilities near the critical point.
NPROCX,Set number of processors in the x-direction for a parallel run.
NPROCY,Set number of processors in the y-direction for a parallel run.
OPTIONS3,Activate special options within particular facilities in ECLIPSE 300.
PDIVX,Select a division of the x-direction for parallel runs.
PDIVY,Select a division of the y-direction for parallel runs.
RESOPT,Activates the Reservoir Optimization license key.
PSPLITX,Specify multiple domain decomposition in the X-direction.
PSPLITY,Specify multiple domain decomposition in the Y-direction.
PSSAT,"Use saturation pressure to assign states, instead of Li correlation."
PVT-M,Use PVT-metric unit convention.
REACTION,Define the number of chemical reactions.
ROCKDIMS,Set dimensions for rock over and underburden data in thermal simulations.
RSM,Output extra data to the RSM file.
SCFDIMS,Set dimensions for conductive fractures.
SECTOR,Define a sector model.
SECTBC,Specify boundary conditions for sector model.
SKIPSTAB,Speeds up flash calculations by skipping some one-phase stability calculations.
SOLVDIMS,Specifies the solver dimensions for an unstructured grid.
TRACK,Enable the Tracking option.
TCBDIMS,Set temperature cutback table dimensions in thermal simulations.
THERMAL,Enable the Thermal option.
TRCOEF,Enable transport coefficients to be used.
TRPLPORO,Grid for triple porosity.
UNIFSAVE,Indicates that Save files are unified.
VECTABLE,Set the size of the vector property table.
VELDEP,Settings for velocity dependent relative permeability.
WAGHALT,Selects the alternative WAG hysteresis model.
COARSEN,Generates non-neighbor connections generated from using the grid coarsening option.
CIRCLE,May be used in radial studies with more than two cells in the direction to represent flow across the 360 degree to 0 degree boundary.
NOCIRCLE,May be used in local radial grid refinement runs to complete the circle.
NNC,May be used to enter a non-neighbor transmissibility between any two cells in the reservoir. In ECLIPSE 300 this is further enhanced with the NNCGEN keyword.
SIGMA,May be used to specify a coupling parameter for NNCs set up in Dual Porosity runs. The use of this is discussed in 'Dual Porosity' in the ECLIPSE Technical Description.
SIGMAGD,"May be used to specify a different coupling parameter for gravity drainage. By default, the SIGMA values are used."
PINCH,Specifies how missing zero thickness layers are to be treated. NNCs may be generated across the absent layer.
AQUCON,Connects a numerical aquifer to the reservoir using NNCs.
DX,X-direction grid block sizes for the current input box (or use DXV).
DXV,Vector of X-direction grid block sizes or use DX. Simplified version of DX.
DY,Y-direction grid block sizes for the current input box (or use DYV).
DYV,Vector of Y-direction grid block sizes or use DY. Simplified version of DY.
INRAD,Sets inner radius of radial grid.
DR,R-direction grid block sizes for the current input box (or use DRV or OUTRAD).
DRV,Vector of R-direction grid block sizes (or use DR or OUTRAD). Simplified version of DR.
OUTRAD,Sets outer radius of radial grid (or use DR or DRV).
DTHETA,Theta-direction grid block sizes for the current input box (or use DTHETAV).
DTHETAV,Vector of Theta-direction grid block sizes (or use DTHETA). Simplified version of DTHETA.
COORD,"Defines the lines that contain all grid block corner points for each (I, J) and for each reservoir in the grid."
ZCORN,Point depths of grid block corners.
GDFILE,Inputs corner point positions for each cell from a GRID file as an alternative to COORD and ZCORN.
ADDZCORN,Adds a constant value to cell corner point depths.
EQLZCORN,Resets part of the corner point depth array within a specified box.
COORDSYS,Information about the coordinate system for each reservoir in the grid. Specifies completion of the circle in both corner point and block-centered geometries.
RESVNUM,Initiates COORD data input for a given reservoir in the grid.
MAPAXES,"Inputs map origin from a grid pre-processor, for output to the GRID file."
MAPUNITS,Specifies the units used for MAPAXES data for output to the GRID file.
GRIDUNIT,Specifies the grid data units that can be output by grid pre-processors or by ECLIPSE simulators writing the grid geometry files.
PORO,Grid block porosities for the current input box. Must be set in some way.
DZNET,Grid block net thicknesses (or use NTG).
NTG,Grid block net-to-gross ratios for current input box (or use DZNET).
ACTNUM,Identifies active grid blocks.
MIDS,Specifies cell mid-point depths.
MINPV,Minimum pore volume that each grid block must have to be active (scalar).
MINPVV,Minimum pore volumes that grid blocks in the current BOX must have to be active (vector).
MULTPV,Pore volume multipliers for the current input box.
PERMR,R-direction permeabilities for the current input box.
PERMTHT,Theta-direction permeabilities for the current input box.
PERMX,X-direction permeabilities for the current input box.
PERMY,Y-direction permeabilities for the current input box.
PERMZ,Z-direction permeabilities for the current input box.
JFUNC,Activates Leverett J-Function option to scale capillary pressure according to rock porosity and permeability.
JFUNCR,Activates Leverett J-Function option to scale capillary pressure according to rock porosity and permeability on a per saturation region basis. Each set of saturation function tables may be specified to use either capillary pressures values obtained from direct table look-up or via the Leverett J-Function calculation.
NEWTRAN,Specifies that corner point data should be used to compute transmissibilities.
OLDTRAN,Specifies that block center data should be used to compute transmissibilities.
OLDTRANR,Alternative calculation of transmissibilities using block characteristics.
PINCHNUM,Identifies pinchout regions for use by PINCHREG.
PINCHREG,Specifies pinchout data within PINCHNUM regions.
COLUMNS,Reset left and right margins for reading data input file.
DEBUG,Set debug output control switches.
DEBUG3,Set debug output control switches.
ECHO,Switch on the echo of the data printed at the start of each run.
END,Terminate reading the data.
ENDINC,Terminate reading the Include file and return to the main data file.
ENDSKIP,"Terminates skipping of keywords (SKIP, SKIP100, SKIP300)."
EXTRAPMS,Request warning messages for PVT and VFP table extrapolation.
FORMFEED,Sets the formfeed character in the Print file.
GETDATA,"Imports named array data from previous Initial or Restart files. (GRID, EDIT, PROPS, REGIONS and SOLUTION sections.)"
INCLUDE,Insert the contents of a specified file.
MESSAGES,Reset print and stop limits for messages of all severity types.
NOECHO,Switch off the echo of the data printed at the start of each run.
NOWARN,Suppress warning messages.
SKIP,Skips the following keywords until ENDSKIP is read.
SKIP100,Instructs ECLIPSE 100 to skip the following keywords until ENDSKIP is read; it is ignored in ECLIPSE 300.
SKIP300,Instructs ECLIPSE 300 to skip the following keywords until ENDSKIP is read; it is ignored in ECLIPSE 100.
WARN,Reactivate warning messages after suppression by NOWARN in ECLIPSE 100 only.
FAULTS,Identifies fault trajectories for subsequent use by the MULTFLT keyword.
MULTFLT,Multipliers for the transmissibility and diffusivity across faults defined by the FAULTS keyword.
THPRESFT,Threshold pressures associated with faults defined by the FAULTS keyword.
AQUANCON,Defines connection data for analytic aquifer.
BTOBALFA,Switch on Z-direction block to block matrix-fracture coupling and supply single-value transmissibility connection fraction multiplier.
BTOBALFV,Switch on Z-direction block to block matrix-fracture coupling and supply multiple-value transmissibility connection fraction multipliers.
DIFFMMF,Diffusivity multipliers for matrix-fracture coupling.
DPGRID,Enables user to enter grid data for matrix cells only.
DPNUM,Identifies the extent of the regions in which the single porosity model may be applied in a dual porosity run.
DZMTRX,"The vertical dimension of a typical block of matrix material, for the entire grid."
DZMTRXV,"The vertical dimension of a typical block of matrix material, for the current box."
NMATOPTS,Controls the Discretized Matrix Dual Porosity option.
NODPPM,Specifies that permeabilities in the fracture cells are not to be multiplied by the fracture porosity.
SIGMA,Matrix-to-fracture coupling factor for the entire grid.
SIGMAV,Matrix-to-fracture coupling factor for the current box.
SIGMAGD,"Matrix-to-fracture coupling for oil-gas gravity drainage, for the entire grid."
SIGMAGDV,"Matrix-to-fracture coupling for oil-gas gravity drainage, for the current box."
LTOSIGMA,"Provides an easy way to calculate SIGMA from LX, LY, LZ."
"LX, LY, LZ",Inputs the representative matrix block sizes for the viscous displacement option.
MULTMF,Transmissibility multipliers for matrix-fracture coupling.
PERMMF,Permeability for matrix-fracture coupling.
COLLAPSE,Specifies which cells should be collapsed.
CRITPERM,Sets a critical permeability to determine which cells are collapsed.
VEDEBUG,Controls debug output for VE options.
DIFFMR,R-direction diffusivity multipliers for the current input box.
DIFFMR-,Negative R-direction diffusivity multipliers for the current input box.
DIFFMTH,Theta-direction diffusivity multipliers for the current input box.
DIFFMTH-,Negative Theta-direction diffusivity multipliers for the current input box.
DIFFMX,X-direction diffusivity multipliers for the current input box.
DIFFMX-,Negative X-direction diffusivity multipliers for the current input box.
DIFFMY,Y-direction diffusivity multipliers for the current input box.
DIFFMY-,Negative Y-direction diffusivity multipliers for the current input box.
DIFFMZ,Z-direction diffusivity multipliers for the current input box.
DIFFMZ-,Negative Z-direction diffusivity multipliers for the current input box.
DIFFMMF,Matrix-fracture diffusivity multipliers for the current input box.
MULTFLT,Multipliers for the transmissibility and diffusivity across faults defined by the keyword.
MULTREGD,Multipliers for the diffusivity between regions defined with FLUXNUM or MULTNUM.
MULTNUM,"Identifies regions for use with MULTREGT, MULTREGD and MULTREGH."
MULTREGH,Multipliers for the thermal conductivity between regions defined with FLUXNUM or MULTNUM.
THCONR,Rock thermal conductivities for the current input box.
NINENUM,Specifies the extent of the nine-point discretization scheme.
MINPORV9,Set a minimum pore volume for calculation of nine-point transmissibilities.
ORTHERRO,Set a minimum orthogonality error for calculation of nine-point transmissibilities.
ORTHERRX,Set a minimum orthogonality error for calculation of nine-point transmissibilities for interfaces in the X-direction.
ORTHERRY,Set a minimum orthogonality error for calculation of nine-point transmissibilities for interfaces in the Y-direction.
ORTHERRZ,Set a minimum orthogonality error for calculation of nine-point transmissibilities for interfaces in the Z-direction.
ADD,Adds specified constants to specified arrays in the current input box.
ADDREG,"Adds specified constants to specified arrays in a given flux, MULTNUM or OPERNUM region."
BOUNDARY,Defines the section of the grid for which output maps are required.
BOX,Redefines the current input box.
COPY,Copies data in the current box from one specified array to another.
COPYBOX,Copies data from one box of cells to another box of the same size.
COPYREG,"Copy by FLUXNUM region, MULTNUM region or OPERNUM region."
DUMPFLUX,Output a Flux file.
ENDBOX,Redefines the current input box to encompass the whole grid.
EQUALS,Sets specified arrays to specified constants within the current box.
EQUALREG,"Sets specified arrays to specified constants in a given flux, MULTNUM or OPERNUM region."
FLUXNUM,"Defines flux regions, for editing data with ADDREG, EQUALREG, MULTIREG and COPYREG, and for inter-region multipliers MULTREGT, MULTREGD and MULTREGH."
FLUXREG,Select which flux regions are active in a run.
GRIDFILE,Controls the contents of the Grid Geometry file (for graphical output).
IMPORT,Imports binary data generated by a grid pre-processor.
INIT,Produces initial file for GRAF.
LGRCOPY,Copy global values to local cells before operations on cells within an LGR.
MAXVALUE,Applies a maximum value to specified arrays within the current box.
MINNNCT,Sets a cut-off transmissibility below which an NNC is deleted.
MINVALUE,Applies a minimum value to specified arrays within the current box.
MULTIPLY,Multiply specified arrays by specified constants within the current box.
MULTIREG,"Multiply specified arrays by specified constants in a given flux, MULTNUM or OPERNUM region."
NOGGF,Specifies that no Grid Geometry file is to be produced (for graphical output).
OPERATE,Performs arithmetic operations on arrays.
OPERATER,Performs arithmetic operations on arrays for a specific region of the grid.
OPERNUM,"Defines region on which to perform operations using the OPERATER keyword. The data can also be edited using ADDREG, EQUALREG, MULTIREG and COPYREG."
RPTGRID,Sets report levels for GRID data.
RPTINIT,Controls output to the Initialization file for GRID and EDIT data.
SOLVDIRS,Overrides default settings for principal directions in the linear solver.
SPECGRID,Specification of grid dimensions.
TOPS,Specifies the depths of the top face of each grid cell.
USEFLUX,Use a Flux file.
CIRCLE,Requests completion of the circle.
MAXTRANZ,Maximum Z-direction transmissibility.
MIDS,Specify cell mid-point depths.
MINDZNET,Minimum net thickness for active cell.
XSTC,Specifies oil composition at standard conditions for the Flux option.
YSTC,Specifies gas composition at standard conditions for the Flux option.
NYFIN,Number of local cells in each global cell of an LGR in the Y-direction.
NZFIN,Number of local cells in each global cell of an LGR in the Z-direction.
RADFIN,Specifies a single-column radial local grid refinement.
REFINE,Initiates data input for a named local grid.
RPTGRIDL,Controls output of GRID section data for local grids.
AMALGAM,Allow local grids to amalgamate.
AUTOCOAR,Specifies a box of cells for coarsening within an auto refinement.
QMOBIL,Controls the mobile end-point correction in an LGR.
RADFIN4,Specifies a four-column radial local grid refinement.
"SMULIX, SMULIY, SMULIZ",Alternative transmissibility multipliers for auto refinement.
VEFIN,Controls Vertical Equilibrium in local grids.
AQUCON,Defines a connection between a numerical aquifer and the reservoir.
AQUCT,Specifies property data for Carter-Tracy aquifer.
AQUNUM,Defines a numerical aquifer.
GADJUST,Adjusts diagonal permeability tensor.
MPFA,Sets options for tensor permeability.
PERMXX,X-direction tensor permeability coefficient for the current input box.
PERMYY,Y-direction tensor permeability coefficient for the current input box.
PERMZZ,Z-direction tensor permeability coefficient for the current input box.
PERMXY,XY-direction tensor permeability coefficient for the current input box.
PERMYZ,YZ-direction tensor permeability coefficient for the current input box.
PERMZX,ZX-direction tensor permeability coefficient for the current input box.
TBASIS,Specify basis for tensor permeabilities.
ACTNUM,Identifies active grid blocks.
CARFIN,Defines a Cartesian local grid refinement.
COALNUM,Specifies coal regions for the Coal bed Methane option.
EXTFIN,Specifies an unstructured local grid refinement.
EXTHOST,Specifies the global host cells of an unstructured local grid refinement.
EXTREPGL,Specifies the replaced global cells for an unstructured local grid refinement.
FILEUNIT,Confirms the units of the data set.
FLUXREG,Select which flux regions are active in a run.
GDORIENT,Indicates the orientation and handedness of the grid.
HMMULTPV,Specifies pore volume multipliers (cumulative).
HMMULTXX,Specify history matching multipliers on transmissibility and/or permeability.
HRFIN,Local grid size ratios in the R-direction.
HXFIN,Local grid size ratios in the X-direction.
HYFIN,Local grid size ratios in the Y-direction.
HZFIN,Local grid size ratios in the Z-direction.
MPFANUM,Identifies regions in which to apply the multipoint discretization or nine point scheme.
MPFNNC,Sets multi-point transmissibility coefficients.
MULTREGP,Multiplies pore volumes between flux or multiplier regions.
MULTREGT,Multiplies transmissibilities between flux or multiplier regions.
MULTTHT,Theta-direction transmissibility multipliers for the current box.
MULTTHT-,Negative R-direction transmissibility multipliers for the current box.
MULTXY,X-direction transmissibility multipliers for the current box.
MULTXY-,Negative X-direction transmissibility multipliers for the current box.
MULTYY,Y-direction transmissibility multipliers for the current box.
MULTYY-,Negative Y-direction transmissibility multipliers for the current box.
MULTZZ,Z-direction transmissibility multipliers for the current box.
MULTZZ-,Negative Z-direction transmissibility multipliers for the current box.
PINCHOUT,"Same as keyword PINCH, but threshold thickness cannot be adjusted."
PINCHXY,"Generates horizontal (I, J) pinchout connections."
ROCKFRAC,Sets the rock volume fraction for each grid block.
RPTINIT,Controls output to the Initialization file for GRID and EDIT data.
SIGMAGDV,Matrix-fracture coupling for oil-gas gravity drainage (current box).
SIGMAV,Matrix-to-fracture coupling factor for the current box.
SOLVDIMS,Specifies the solver dimensions for an unstructured local grid refinement.
SOLVDIRS,Overrides default settings for principal directions in the linear solver.
SOLVNUM,Specifies the map from user numbers to solver numbers for an unstructured grid.
THCONR,"Rock and fluid thermal conductivities for the current box, for the Temperature and Thermal options."
THPRESET,Specifies a threshold pressure associated with a named fault.
TRANGL,Specifies the global-local connections and associated transmissibilities for an unstructured local grid refinement.
AQUUNC,Specifies numerical aquifer non-neighbor connection properties explicitly.
HALFTRAN,Activates the half-block transmissibility upscaling option.
HMAQUNUM,Activates the calculation of gradients for numerical aquifer parameters.
HMMLAQUN,Specifies cumulative multipliers on numerical aquifer parameters.
HMMRREGT,Specifies cumulative inter-region transmissibility multipliers.
HMMLRGT,Activates the calculation of gradients with respect to inter-region transmissibility multipliers.
IONROCK,Rock ion exchange capacity.
ISOLNUM,Defines the extent of each independent reservoir region.
LINKPERM,Treats grid block permeabilities as applying to cell faces.
LTOSIGMA,"Provides an easy way to calculate SIGMA from LX, LY, LZ."
"LX, LY, LZ",Inputs the representative matrix block sizes for the dual porosity viscous displacement option.
MULTREGD,Multiplies diffusivities between flux or multiplier regions.
MULTREGH,Multiplies thermal conductivity between flux or multiplier regions.
NEWTRAN,Specifies that transmissibilities are to be computed using area of contact between blocks. Default for corner point geometry.
PEBI,Specifies that an unstructured grid is being used.
PERMAVE,Sets options for permeability averaging in transmissibilities.
RPTISOL,"Generates data for the ISOLNUM keyword, output to the Debug file."
VEDEBUG,Controls debug output from the Vertical Equilibrium options.
AQUQCT,Specifies property data for Cater-Tracy aquifer.
BIOTC,Sets the Biot constant for each grid block.
COALNUMR,Redefine coal region numbers in connection with the multi-porosity option.
CONDFLTS,Specifies geometry of conductive faults.
CONDFRAC,Specifies geometry of a conductive fracture
CRNDENS,Specifies rock density for each coal region number
CRITPERM,Sets a critical permeability for cell collapse in Compressed VE
DZV,Vector of Z-direction grid block sizes
GADJUST,Adjusts diagonal permeability tensor
GLTHEX,Sets a coefficient of linear thermal expansion for each grid block.
HEATCR,Rock heat capacity
HEATCRT,Temperature dependence of rock heat capacity
MAXTRANZ,Maximum Z-direction transmissibility.
MIDS,Specify cell mid-point depths.
MINDZNET,Minimum net thickness for active cell.
MINPORV9,Set a minimum pore volume for calculation of nine-point transmissibilities.
MINROCKV,Sets a minimum rock volume that each cell must have to be active
MPFA,Sets options for tensor permeability.
MULTMF,Transmissibility multipliers for matrix-fracture coupling.
NNCGEN,Allows NNCs to be generated between any two grid cells.
NOCIRCLE,Turn off completion of circle for local grid refinements.
ORTHERRO,Set a minimum orthogonality error for calculation of nine-point transmissibilities.
ORTHERRX,Set a minimum orthogonality error for calculation of nine-point transmissibilities for interfaces in the X-direction.
ORTHERRY,Set a minimum orthogonality error for calculation of nine-point transmissibilities for interfaces in the Y-direction.
ORTHERRZ,Set a minimum orthogonality error for calculation of nine-point transmissibilities for interfaces in the Z-direction.
PERMMF,Permeability for matrix-fracture coupling.
PERMXX,X-direction tensor permeability coefficient for the current input box.
PERMYY,Y-direction tensor permeability coefficient for the current input box.
PERMZZ,Z-direction tensor permeability coefficient for the current input box.
PERMXY,XY-direction tensor permeability coefficient for the current input box.
PERMYZ,YZ-direction tensor permeability coefficient for the current input box.
PERMZX,ZX-direction tensor permeability coefficient for the current input box.
POISSONR,Sets the Poisson ratio for each grid block.
PROPFLOW,Defines parameters to be used with the proponent flowback feature.
ROCKCON,Base and cap rock connections to the global grid
ROCKCONL,Base and cap rock connections to the local grid refinements
ROCKDEN,Sets the rock density for each grid block
ROCKPROP,Base and cap rock properties
SIGMATH,Matrix-fracture thermal conductivity multiplier
TBASIS,Specify basis for tensor permeabilities
THCGAS,Gas phase thermal conductivity
THCOIL,Oil phase thermal conductivity
THCONMF,Matrix-fracture conductivity
THCONSF,Thermal conductivity saturation dependence
THCROCK,Rock thermal conductivity
THCSOLID,Solid phase thermal conductivity
THCWATER,Water phase thermal conductivity
THEFLXTF,Heat transmissibility factor for the flux boundary option.
YOUNGMOD,Sets the elastic Young’s modulus for each grid block.
XSTC,Specifies oil composition at standard conditions
YSTC,Specifies gas composition at standard condition.
ADD,Adds specified constants to specified arrays in the current input box.
ADDREG,"Adds a constant to the specified array in a flux, MULTNUM or OPERNUM region."
BOUNDARY,Defines the section of the grid for which output maps are required.
BOX,Re-defines the current input box. COPY Copies data in the current box from one specified array to another.
COPYREG,Copy by FLUXNUM region MULTNUM region or OPERNUM region.
DEPTH,Grid block center depths for the current input box.
DIFFR,R-direction diffusivities for the current input box
DIFFTHT,Theta-direction diffusivities for the current input box
DIFFX,X-direction diffusivities for the current input box
DIFFY,Y-direction diffusivities for the current input box
DIFFZ,Z-direction diffusivities for the current input box
EDITNNC,Modifies non-neighbor connections. EDITNNCR Replaces non-neighbor connections.
ENDBOX,Re-defines the current input box to encompass the whole grid.
ENDFIN,Terminates data for a local grid refinement.
EQUALREG,"Sets an array to a constant value in a flux, MULTNUM, or OPERNUM region."
EQUALS,Sets specified arrays to specified constants within the current box.
FILEUNIT,Confirms the units of the data set.
HMMULTPV,History matching pore volume multipliers.
HMMULTxx,History matching transmissibility multipliers.
IMPORT,Imports binary data generated by a grid pre-processor.
LGRCOPY,Copy global values to local cells before operations on cells within an LGR.
MAXVALUE,Applies a maximum value to specified arrays within the current box.
MINVALUE,Applies a minimum value to specified arrays within the current box.
MULTFLT,Applies a transmissibility multiplier to a named fault defined by the FAULTS keyword in the GRID section.
MULTIPLY,Multiplies specified arrays by specified constants within the current box.
MULTIREG,"Multiplies an array by a constant in a given flux, MULTNUM or OPERNUM region."
MULTPV,Multiplies the calculated pore volume within the current box.
MULTREGT,Multiplies transmissibilities between flux or multiplier regions.
MULTREGP,Multiplies pore volumes between flux or multiplier regions.
OPERATE,Performs arithmetic operations on arrays.
OPERATER,Performs arithmetic operations on arrays for a specific region of the grid (defined using the OPERNUM keyword in the GRID section).
PORV,Grid block pore volumes for the current input box.
REFINE,Select local grid refinement for input data.
ROCKV,Rock volume
TRANR,R direction transmissibilities for the current input box
TRANTHT,Theta direction transmissibilities for the current input box
TRANX,X direction transmissibilities for the current input box
TRANY,Y direction transmissibilities for the current input box
TRANZ,Z direction transmissibilities for the current input box
MULTR,Sets an additional R-direction transmissibility multiplier within the current box.
MULTR-,Sets an additional negative R-direction transmissibility multiplier within the current box.
MULTREGD,Multiplies diffusivities between flux or multiplier regions.
MULTREGH,Multiplies thermal conductivity between flux or multiplier regions.
MULTTHT,Sets an additional Theta-direction transmissibility multiplier within the current box.
MULTTHT-,Sets an additional negative Theta-direction transmissibility multiplier within the current box.
MULTX,Sets an additional X-direction transmissibility multiplier within the current box.
MULTX-,Sets an additional negative X-direction transmissibility multiplier within the current box.
MULTY,Sets an additional Y-direction transmissibility multiplier within the current box.
